	a0	a1	a2	x	y	z
64	0.167594	0.765417	0.780511	72.64584	45.588165	156.33263
65	0.167583	0.765541	0.780737	72.64584	45.588165	156.33263
66	0.167599	0.765633	0.780868	72.64584	45.588165	156.33263
67	0.167584	0.765918	0.780507	72.64584	45.588165	156.33263
68	0.167604	0.76543	0.780665	72.64584	45.588165	156.33263
69	0.167588	0.765289	0.780748	74.89801	47.166817	161.2971
70	0.167581	0.765234	0.780745	74.89801	47.166817	161.2971
71	0.167578	0.764662	0.780954	74.89801	47.166817	161.2971
72	0.167599	0.76499	0.781029	75.60053	47.51633	163.17455
73	0.16759	0.76521	0.780836	75.60053	47.51633	163.17455
74	0.167604	0.765208	0.780788	75.60053	47.51633	163.17455
75	0.1676	0.765194	0.780691	73.59441	46.33903	158.98396
76	0.167612	0.765118	0.780988	73.59441	46.33903	158.98396
77	0.167591	0.765937	0.781145	73.59441	46.33903	158.98396
78	0.167588	0.765724	0.780958	73.59441	46.33903	158.98396
79	0.167593	0.765211	0.780861	73.59441	46.33903	158.98396
80	0.167571	0.765498	0.780993	73.59441	46.33903	158.98396
81	0.167614	0.765174	0.780979	72.30251	45.560093	156.22884
82	0.167604	0.765331	0.781112	72.30251	45.560093	156.22884
83	0.167579	0.76568	0.780815	72.30251	45.560093	156.22884
84	0.167562	0.766081	0.780941	74.543526	47.13795	161.18982
85	0.167501	0.766024	0.781161	74.543526	47.13795	161.18982
86	0.167368	0.765474	0.781177	74.543526	47.13795	161.18982
87	0.167256	0.765465	0.781335	74.543526	47.13795	161.18982
88	0.16716	0.765184	0.780893	74.543526	47.13795	161.18982
89	0.167113	0.76549	0.781216	74.543526	47.13795	161.18982
90	0.167045	0.765398	0.780879	74.543526	47.13795	161.18982
91	0.166962	0.765464	0.781123	75.31141	47.673332	163.02785
92	0.166871	0.764981	0.781444	75.24198	47.486797	163.06543
93	0.166765	0.76497	0.781294	75.24198	47.486797	163.06543
94	0.166752	0.765537	0.78129	75.24198	47.486797	163.06543
95	0.166686	0.765247	0.781438	75.24198	47.486797	163.06543
96	0.166695	0.764893	0.781394	73.23824	46.306335	158.86328
97	0.166779	0.764483	0.781364	73.23824	46.306335	158.86328
98	0.166883	0.76436	0.781762	73.23824	46.306335	158.86328
99	0.166969	0.764469	0.782004	72.37967	45.772064	157.19449
100	0.167128	0.764598	0.78242	72.37967	45.772064	157.19449
101	0.167315	0.764051	0.782503	72.37967	45.772064	157.19449
102	0.167577	0.764714	0.782476	72.37967	45.772064	157.19449
103	0.167881	0.765449	0.78223	71.95956	45.532017	156.12508
104	0.168426	0.76537	0.782734	71.95956	45.532017	156.12508
105	0.169087	0.76584	0.782695	71.95956	45.532017	156.12508
106	0.169774	0.76663	0.782869	71.95956	45.532017	156.12508
107	0.170297	0.7675	0.782971	72.37967	45.772064	157.19449
108	0.170759	0.766586	0.782868	75.18687	47.760006	163.60631
109	0.171107	0.76736	0.783084	73.25938	46.416008	158.13292
110	0.171554	0.767428	0.782927	75.81175	47.86933	157.329
111	0.17213	0.767752	0.783804	78.36413	49.322655	156.52507
112	0.172789	0.768469	0.784272	80.916504	50.77598	155.72115
113	0.173351	0.769236	0.785462	83.46887	52.229305	154.91722
114	0.173701	0.77004	0.786507	86.02125	53.68263	154.1133
115	0.174006	0.770146	0.787381	88.57362	55.135952	153.30937
116	0.174243	0.771125	0.787781	91.126	56.589275	152.50545
117	0.174563	0.770954	0.788863	93.678375	58.042603	151.70152
118	0.174792	0.771212	0.789707	96.23075	59.495926	150.8976
119	0.175022	0.772599	0.790857	98.78313	60.94925	150.09369
120	0.175327	0.772542	0.79197	101.335495	62.402573	149.28976
121	0.175632	0.774002	0.792831	103.88787	63.855896	148.48584
122	0.175944	0.77499	0.793397	106.44025	65.30922	147.68192
123	0.176236	0.776557	0.794134	108.99262	66.76254	146.87799
124	0.176454	0.777048	0.794685	111.545	68.215866	146.07407
125	0.176665	0.778351	0.795296	114.097374	69.6692	145.27014
126	0.176888	0.779192	0.795862	116.64974	71.12252	144.46622
127	0.177148	0.780576	0.796792	119.20212	72.57584	143.6623
128	0.177388	0.782563	0.797421	121.75449	74.02917	142.85837
129	0.177533	0.784026	0.798562	124.30687	75.48249	142.05444
130	0.177763	0.785306	0.799438	124.71739	77.38754	141.54642
131	0.177995	0.786793	0.800563	125.127914	79.292595	141.0384
132	0.178098	0.788349	0.801912	125.53843	81.19765	140.53038
